timestamp,device_id,mac,type,connected_to,traffic,packet_rate,signal,status,mac_changed,flap_count,snmp_oid,snmp_value,syslog_msg
1776957922,device_0,AA:BB:CC:00:F4:68,camera,ap_2,102,81,93,active,0,0,1.3.6.1.2.1.2.2.1.10,104448,Apr 23 20:55:22 device-0 iotd: [INFO] Device normal
1776957922,device_1,AA:BB:CC:01:AE:45,sensor,ap_3,11,55,89,active,0,0,1.3.6.1.2.1.2.2.1.10,11264,Apr 23 20:55:22 device-1 iotd: [INFO] Device normal
1776957922,device_2,AA:BB:CC:02:33:BF,smart_light,ap_3,6,54,65,active,0,0,1.3.6.1.2.1.2.2.1.10,6144,Apr 23 20:55:22 device-2 iotd: [INFO] Device normal
1776957922,device_3,AA:BB:CC:03:8C:54,smart_light,ap_1,24,32,96,active,0,0,1.3.6.1.2.1.2.2.1.10,24576,Apr 23 20:55:22 device-3 iotd: [INFO] Device normal
1776957922,device_4,AA:BB:CC:04:E7:DF,sensor,ap_1,3,93,87,active,0,0,1.3.6.1.2.1.2.2.1.10,3072,Apr 23 20:55:22 device-4 iotd: [INFO] Device normal
1776957922,device_5,AA:BB:CC:05:70:6E,camera,ap_1,112,87,76,active,0,0,1.3.6.1.2.1.2.2.1.10,114688,Apr 23 20:55:22 device-5 iotd: [INFO] Device normal
1776957922,device_6,AA:BB:CC:06:B9:C4,camera,ap_3,95,22,78,active,0,0,1.3.6.1.2.1.2.2.1.10,97280,Apr 23 20:55:22 device-6 iotd: [INFO] Device normal
1776957922,device_7,AA:BB:CC:07:36:5B,smart_light,ap_3,11,63,88,active,0,0,1.3.6.1.2.1.2.2.1.10,11264,Apr 23 20:55:22 device-7 iotd: [INFO] Device normal
1776957922,device_8,AA:BB:CC:08:F0:92,phone,ap_1,56,39,97,active,0,0,1.3.6.1.2.1.2.2.1.10,57344,Apr 23 20:55:22 device-8 iotd: [INFO] Device normal
1776957922,device_9,AA:BB:CC:09:B6:9F,sensor,ap_3,3,81,77,active,0,0,1.3.6.1.2.1.2.2.1.10,3072,Apr 23 20:55:22 device-9 iotd: [INFO] Device normal
1776957922,device_10,AA:BB:CC:0A:E5:A4,phone,ap_1,40,77,78,active,0,0,1.3.6.1.2.1.2.2.1.10,40960,Apr 23 20:55:22 device-10 iotd: [INFO] Device normal
1776957922,device_11,AA:BB:CC:0B:2D:72,camera,ap_2,121,92,79,active,0,0,1.3.6.1.2.1.2.2.1.10,123904,Apr 23 20:55:22 device-11 iotd: [INFO] Device normal
1776957922,device_12,AA:BB:CC:0C:9D:E2,smart_light,ap_1,3,34,95,active,0,0,1.3.6.1.2.1.2.2.1.10,3072,Apr 23 20:55:22 device-12 iotd: [INFO] Device normal
1776957922,device_13,AA:BB:CC:0D:37:16,thermostat,ap_1,18,50,71,active,0,0,1.3.6.1.2.1.2.2.1.10,18432,Apr 23 20:55:22 device-13 iotd: [INFO] Device normal
1776957922,device_14,AA:BB:CC:0E:B0:55,smart_light,ap_3,11,30,62,active,0,0,1.3.6.1.2.1.2.2.1.10,11264,Apr 23 20:55:22 device-14 iotd: [INFO] Device normal
1776957922,device_0,AA:BB:CC:00:F4:68,camera,ap_2,165,82,94,active,0,0,1.3.6.1.2.1.2.2.1.10,168960,Apr 23 20:55:22 device-0 iotd: [INFO] Device normal
1776957922,device_1,AA:BB:CC:01:AE:45,sensor,ap_3,10,84,89,active,0,0,1.3.6.1.2.1.2.2.1.10,10240,Apr 23 20:55:22 device-1 iotd: [INFO] Device normal
1776957922,device_2,AA:BB:CC:02:33:BF,smart_light,ap_3,9,82,64,active,0,0,1.3.6.1.2.1.2.2.1.10,9216,Apr 23 20:55:22 device-2 iotd: [INFO] Device normal
1776957922,device_3,AA:BB:CC:03:8C:54,smart_light,ap_1,32,98,96,active,0,0,1.3.6.1.2.1.2.2.1.10,32768,Apr 23 20:55:22 device-3 iotd: [INFO] Device normal
1776957922,device_4,AA:BB:CC:04:E7:DF,sensor,ap_1,3,54,87,active,0,0,1.3.6.1.2.1.2.2.1.10,3072,Apr 23 20:55:22 device-4 iotd: [INFO] Device normal
1776957922,device_5,AA:BB:CC:05:70:6E,camera,ap_1,180,82,77,active,0,0,1.3.6.1.2.1.2.2.1.10,184320,Apr 23 20:55:22 device-5 iotd: [INFO] Device normal
1776957922,device_6,AA:BB:CC:06:B9:C4,camera,ap_3,146,53,77,active,0,0,1.3.6.1.2.1.2.2.1.10,149504,Apr 23 20:55:22 device-6 iotd: [INFO] Device normal
1776957922,device_7,AA:BB:CC:07:36:5B,smart_light,ap_3,19,74,87,active,0,0,1.3.6.1.2.1.2.2.1.10,19456,Apr 23 20:55:22 device-7 iotd: [INFO] Device normal
1776957922,device_8,AA:BB:CC:08:F0:92,phone,ap_1,59,43,96,active,0,0,1.3.6.1.2.1.2.2.1.10,60416,Apr 23 20:55:22 device-8 iotd: [INFO] Device normal
1776957922,device_9,AA:BB:CC:09:B6:9F,sensor,ap_3,1,24,77,active,0,0,1.3.6.1.2.1.2.2.1.10,1024,Apr 23 20:55:22 device-9 iotd: [INFO] Device normal
1776957922,device_10,AA:BB:CC:0A:E5:A4,phone,ap_1,40,65,77,active,0,0,1.3.6.1.2.1.2.2.1.10,40960,Apr 23 20:55:22 device-10 iotd: [INFO] Device normal
1776957922,device_11,AA:BB:CC:0B:2D:72,camera,ap_2,191,48,77,active,0,0,1.3.6.1.2.1.2.2.1.10,195584,Apr 23 20:55:22 device-11 iotd: [INFO] Device normal
1776957922,device_12,AA:BB:CC:0C:9D:E2,smart_light,ap_1,1,72,95,active,0,0,1.3.6.1.2.1.2.2.1.10,1024,Apr 23 20:55:22 device-12 iotd: [INFO] Device normal
1776957922,device_13,AA:BB:CC:0D:37:16,thermostat,ap_1,26,96,70,active,0,0,1.3.6.1.2.1.2.2.1.10,26624,Apr 23 20:55:22 device-13 iotd: [INFO] Device normal
1776957922,device_14,AA:BB:CC:0E:B0:55,smart_light,ap_3,13,67,61,active,0,0,1.3.6.1.2.1.2.2.1.10,13312,Apr 23 20:55:22 device-14 iotd: [INFO] Device normal
1776957922,device_0,AA:BB:CC:00:F4:68,camera,ap_2,258,28,95,active,0,0,1.3.6.1.2.1.2.2.1.10,264192,Apr 23 20:55:22 device-0 iotd: [WARN] High traffic 258 pkts/s
1776957922,device_1,AA:BB:CC:01:AE:45,sensor,ap_3,9,89,90,active,0,0,1.3.6.1.2.1.2.2.1.10,9216,Apr 23 20:55:22 device-1 iotd: [INFO] Device normal
